product_name,url,current_price_str,original_price_str,discount_str,pta_status,warranty_terms,display,memory,processor,battery,camera,color_names,color_statuses,color_images,whats_in_the_box,delivery_badges,faqs_text,reviews_text,price_numeric,original_price_numeric,discount_pct,battery_mah,ram_gb,storage_gb,display_size_inches,main_camera_mp
Infinix Note 60 Edge 5G,https://priceoye.pk/mobiles/infinix/infinix-note-60-edge-5g,"Rs 87,699","Rs 94,999",8% OFF,PTA Approved,1 Year Infinix PK Warranty. Official Brand Warranty. All phones purchased from PriceOye come with a 1-year official brand warranty.,"6.78 inches, AMOLED, 1208 x 2644 pixels","8GB RAM, 256GB Internal",Octa Core Processor / Mali-G610 GPU,6500 mAh battery,"50 MP Back Camera, 13 MP Front Camera",Lunar Titanium | Silk Green | Stellar Blue | Shadow Black | Solar Orange,In Stock - 13 units | Out of Stock | In Stock - 12 units | In Stock - 5 units | Out of Stock,https://images.priceoye.pk/infinix-note-edge-pakistan-priceoye-4p1qe-500x500.webp | https://images.priceoye.pk/infinix-note-edge-pakistan-priceoye-8e8rr-500x500.webp | https://images.priceoye.pk/infinix-note-edge-pakistan-priceoye-ld2uv-500x500.webp | https://images.priceoye.pk/infinix-note-edge-pakistan-priceoye-zhzsx-500x500.webp | https://images.priceoye.pk/infinix-note-edge-pakistan-priceoye-h2uaq-500x500.webp,"Handset, Data Cable (USB-C), Charging Adapter, Protective Case, SIM Ejector Tool, User Manual / Warranty Card",Fast Delivery All Over Pakistan | 24hr Delivery | Free Delivery,"Q: Installment pr kese mile ga phone A: Dear Customer, Installment plans for all our products are clearly explained on our website. Please note that debit cards and other payment methods are not eligible for installments. To check the available installment options for your desired product, please visit: https://priceoye.pk/bnpl | Q: What is the procedure of warranty claiming of mobile purchased by price oye A: Dear Customer, All phones purchased from PriceOye come with a 1-year official brand warranty. In case of any issue, you can claim the warranty directly from the respective brand’s authorized service center by providing your purchase details and warranty information.","Aqib Israr (5/5): Your service is very good and very safe and I am completely satisfied... prices are also very reasonable and the packaging is also very good. And the delivery service is also very fast. | Abdul wahab (5/5): First Time buy keya and after 2 days receive hu gaya | Noor muhammad (5/5): This is my 9 mobile, I bought it from Price oye , it's completely reliable... They deliver very quickly. I don't like one thing. They should have a point system. | Atta Ayub (5/5): Received my order Genuine phone thanks priceoye | Syed Muhammad (5/5): Overall satisfied",87699,94999,8,6500,8,256,6.78,50
Infinix Smart 20,https://priceoye.pk/mobiles/infinix/infinix-smart-20,"Rs 34,999","Rs 36,999",5% OFF,PTA Approved Mobiles,,"6.78-inch IPS LCD, 120Hz/90Hz refresh rate, 720 x 1576 resolution, 700 nits brightness","4GB RAM (Up to 8GB with extended RAM), 64GB/128GB Internal Storage",MediaTek Helio G81 Octa-core,"5200 mAh, 15W Charging","8 MP Rear, 8 MP Front (2K video support)",Shadow Black | Cloudline Blue | Polaris Titanium | Orange,In Stock | In Stock | In Stock | In Stock,https://images.priceoye.pk/infinix-smart-20-pakistan-priceoye-4eb98-500x500.webp | https://images.priceoye.pk/infinix-smart-20-pakistan-priceoye-kvanw-500x500.webp | https://images.priceoye.pk/infinix-smart-20-pakistan-priceoye-dwseo-500x500.webp | https://images.priceoye.pk/infinix-smart-20-pakistan-priceoye-ap7mn-500x500.webp,"Handset, 10W Charging Adapter, USB Data Cable, Protective Case, SIM Ejector Tool, Screen Protector, Warranty Card & User Guide",,"Q: Why is the phone expensive? A: Market forces and currency fluctuations; PriceOye does not control manufacturer pricing. | Q: Delivery open to check? A: Open Parcel Service available in Islamabad, Lahore, and Karachi only. | Q: Installment procedure? A: Only Credit Cards eligible; check priceoye.pk/bnpl.",Muhammad Saleh (5/5): Good product | uzair khan (5/5): buhd ziyda fast our acha service | Naeem (5/5): Bohat hi acha mobile ha Very good services | MUHAMMAD SYED (5/5): Overall satisfied. Delivery fast. Packaging good.,34999,36999,5,5200,4,64,0,8
Tecno Spark 50,https://priceoye.pk/mobiles/tecno/tecno-spark-50,"Rs 51,499","Rs 55,999",8% OFF,PTA Approved Mobiles,,"6.78 inches, IPS LCD, 720 x 1600","128GB Internal, 6GB RAM (Extendable Upto 18GB)","MediaTek Helio G81, GPU: Mali-G52 MC2",7000mAh,"50 MP + AI Back, 8MP Front",Ink Black | Titanium Grey | Aurora Purple | Halo Blue | Neo Titanium | Dynamic Orange,In Stock | Out of Stock | In Stock | In Stock | In Stock | Out of Stock,https://images.priceoye.pk/tecno-spark-50-pakistan-priceoye-t2xtg-500x500.webp | https://images.priceoye.pk/tecno-spark-50-pakistan-priceoye-wogc1-500x500.webp | https://images.priceoye.pk/tecno-spark-50-pakistan-priceoye-n66m6-500x500.webp | https://images.priceoye.pk/tecno-spark-50-pakistan-priceoye-xa4ho-500x500.webp | https://images.priceoye.pk/tecno-spark-50-pakistan-priceoye-z71n1-500x500.webp | https://images.priceoye.pk/tecno-spark-50-pakistan-priceoye-jnwdo-500x500.webp,"Handset, Charging Adapter, USB Type-C Cable, Protective TPU Case, SIM Ejector Tool, Warranty Card & User Guide",,"Q: What is in the box A: Dear Customer, You can check the accessories details of the Product in the 'What's in the box' section on our website. | Q: Is charger available inside the box and which type of cable used in it A: Dear Customer, You can check the accessories details of the Product in the 'What's in the box' section on our website. | Q: Agr 6 month pr install pr lia jaiye to kitni price ho gi total tax add kr k A: Installment plans for all our products are clearly explained on our website... To check the available installment options for your desired product, please visit: https://priceoye.pk/bnpl | Q: Assalamu alaikum Tecno spark 50 installment per Lena hai mere pass koi bank account nahi hai jazz cash account hai please rehnumai kren A: Dear Customer... debit cards and other payment methods are not eligible for installments. | Q: delivery open to check hogi A: Dear Customer, You can avail the Open Parcel Service if it’s available in your city — Islamabad, Lahore, or Karachi.",Barkat ali (5/5): بہت اچھا سروس ہے بہت اچھا پراڈکٹ ہے پرائز بھی اچھا ہے ہم کو ڈلیوری بھی جلدی مل گیا | Sadam Hussain (4/5): The phone itself worked fine... But the packaging was disappointing. The box arrived dented. | zulqarnain Haider (5/5): Good mobile | Osama nazar (5/5): Original product Original company packed Best price in market. Order delivered next day of order | Mohsin Kamal (5/5): Original product Original company packed Best price in market. Order delivered next day of order,51499,55999,8,7000,6,128,6.78,50
Honor X8d,https://priceoye.pk/mobiles/honor/honor-x8d,"Rs 72,999","Rs 79,999",9% OFF,PTA Approved Mobiles,,"6.7 inches, AMOLED, 90Hz, 2000 nits (peak), 1080 x 2412 pixels","256GB Internal, 8GB RAM","Qualcomm SM6225 Snapdragon 680 4G (6 nm), GPU: Adreno 610","4500 mAh, 35W wired charging","108 MP + 5 MP + 2 MP Back, 50 MP Front",Velvet Black | Velvet Grey | Light Blue,In Stock | In Stock | Only 5 left in stock,https://images.priceoye.pk/honor-x8d-pakistan-priceoye-1ou8e-500x500.webp | https://images.priceoye.pk/honor-x8d-pakistan-priceoye-s3tv9-500x500.webp | https://images.priceoye.pk/honor-x8d-pakistan-priceoye-amkr5-500x500.webp,"Handset, 35W HONOR SuperCharge Adapter, USB Type-C Cable, Eject Tool, Quick Start Guide, TPU Protective Case, TPU Protective Film",,"Q: Does it support 5G? A: No, the Honor X8d is a 4G device powered by the Snapdragon 680. | Q: Is the memory expandable? A: No, it does not have a card slot, but it comes with 256GB internal storage. | Q: What is the charging speed? A: It supports 35W wired fast charging. | Q: installment procedure? A: Dear Customer, Installment plans for all our products are clearly explained on our website. Please check: https://priceoye.pk/bnpl | Q: Is it PTA approved? A: Yes, all mobile phones sold on PriceOye are PTA approved.","Shahid Iqbal (5/5): Masha Allah. Bohat he kamal ka phone ha design behtreen ha. Priceoye ki packing hamesha ki tarah zabardast. | Arslan Ali (5/5): Original product, safe delivery. Best experience with PriceOye again. | Umer Farooq (4/5): Phone is good and slim but battery life could be better. | Irfan Abbasi (5/5): Great device for the price. Fast delivery within 24 hours in Islamabad.",72999,79999,9,4500,8,256,6.7,108
Nothing Phone 3a Lite,https://priceoye.pk/mobiles/nothing/nothing-phone-3a-lite,"Rs 96,999","Rs 113,999",15% OFF,PTA Approved Mobiles,,"6.77 inches, AMOLED (120HZ), Panda Glass, 1084 x 2392","256GB Internal, 8GB RAM, Card Slot: Yes","Mediatek Dimensity 7300 Pro, GPU: Mali-G615 MC2",5000 mAh,"50 MP + 8 MP + 2 MP Back, 16 MP Front",Black | White | Blue,Out of Stock | In Stock | In Stock,https://images.priceoye.pk/nothing-phone-3a-lite-pakistan-priceoye-3un1c-500x500.webp | https://images.priceoye.pk/nothing-phone-3a-lite-pakistan-priceoye-bz3gu-500x500.webp | https://images.priceoye.pk/nothing-phone-3a-lite-pakistan-priceoye-ii9bl-500x500.webp,"Nothing Phone 3a Lite, Back Cover, Ejection Pin, Type C Cable, Screen Protector File",,"Q: Is it pta approved A: Dear Customer, We only offer brand new, sealed (pin pack) and PTA-approved products, all of which are listed on our website. | Q: Does Nothing phone 3a Lite has NFC support A: Dear customer, You can check the details of the Product in the specifications section on our website. | Q: Is the phone from official Yellostone Pakistan distributors A: Dear Customer, The Nothing Phone 3a Lite is sourced from the official Yellostone Pakistan distributor.",Fahad Faiz (5/5): Got my phone in just 3 days. The service was smooth... I really appreciate the trust-based delivery system. | Shoaib Nadeem (5/5): Product Was in Original Packing It is a Brand NEw Mobile I am 100% Satisfied by the Product and the Price | Shahroz Iqbal (5/5): All good | Hussain Hadi (5/5): yea the product was original It was brand new Yes the price is ok | Waqas Ahmed (5/5): I just wanted to let you know that my experience with the product has been smooth so far. I just need one confirmation how can I check the warranty?,96999,113999,15,5000,8,256,6.77,50
Xiaomi Redmi 15C,https://priceoye.pk/mobiles/xiaomi/xiaomi-redmi-15c,"Rs 40,999","Rs 42,999",5% OFF,PTA Approved,,"6.9 inches, IPS LCD, 120Hz, Corning Gorilla Glass 3, 720 x 1600 pixels","128GB Internal, 4/6 GB RAM, microSDXC slot","MediaTek Helio G81-Ultra processor, GPU: Mali-G52 MC2",6000 mAh,"50 MP Back, 8 MP Front",Midnight Black | Mint Green | Moonlight Blue | Twilight Orange,In Stock | In Stock | Out of Stock for 4GB | Out of Stock for 4GB,https://images.priceoye.pk/xiaomi-redmi-15c-pakistan-priceoye-rygof-500x500.webp | https://images.priceoye.pk/xiaomi-redmi-15c-pakistan-priceoye-n44ud-500x500.webp | https://images.priceoye.pk/xiaomi-redmi-15c-pakistan-priceoye-92xh3-500x500.webp | https://images.priceoye.pk/xiaomi-redmi-15c-pakistan-priceoye-xlsa4-500x500.webp,"Handset, Adapter, E-Warranty, Ejection Pin, Type-C Cable",,"Q: Agr mobile ma kuch issue ho ya thk ni aaye to wapis kesy ho ga or cash on delivery ma parcel open kr k phly dekhny dety hn? A: Dear Customer, All phones come with a 1-year brand warranty... Additionally, you can avail the Open Parcel Service if it’s available in your city — Islamabad, Lahore, or Karachi. | Q: No warranty card? A: Dear Customer, The phones come with an E-warranty instead of a physical warranty card. The warranty automatically starts when you connect the phone to Wi-Fi or insert the SIM. | Q: Does the model you guys sell support nfc? A: Dear Customer, specifications, availability, Price and other details regarding your desired product, please visit our website... | Q: If i have a plan to buy on installment upto 6 months then what will be total charge after adding all taxes? A: Installment plans for all our products are clearly explained on our website... To check the available installment options for your desired product, please visit: https://priceoye.pk/bnpl | Q: Some people says that you give repacked phoned? A: Dear Customer, The claims you heard are completely false... We provide 100% original, brand-new, sealed box-pack products.","Shaikh Talha (5/5): One of the best online platforms is Priceoye... budget-friendly mobile, highly recommended by end-users. Thanks for making my day memorable. | Arslan Ahmad (5/5): The price was reasonable and the parcel was delivered quickly, which is appreciated. Moreover, the mobile phone packaging was satisfactory and secure | Tariq Iqbal (5/5): This is my 4th time with priceoye and I have a very good quality product experience. Thanks to Priceoye and its team | Tariq Iqbal (5/5): Excellent order on time and original product with verified packaging | Irfan Ali (5/5): PriceOye ki tracking service bhi bohot helpful thi. Overall, main apni purchase se bilkul satisfied hoon.",40999,42999,5,6000,6,128,6.9,50
Vivo Y05,https://priceoye.pk/mobiles/vivo/vivo-y05,"Rs 37,499","Rs 42,999",13% OFF,PTA Approved Mobiles,,"17.13 cm (6.74 inches), 1600 × 720, LCD, 1200 nits brightness","64GB / 128GB ROM, 4GB (+ 4GB Extended RAM), microSD up to 2TB","T7225 (12 nm), CPU Clock Speed: 2 × 1.8 GHz + 6 × 1.8 GHz","6500 mAh (Li-ion battery), 15W Charging","8 MP (f/2.0) Back, 5 MP (f/2.2) Front",Voyage Black | Haze Blue | Summit Platinum,In Stock | In Stock | In Stock,https://images.priceoye.pk/vivo-y05-pakistan-priceoye-dfry8-500x500.webp | https://images.priceoye.pk/vivo-y05-pakistan-priceoye-flwrn-500x500.webp | https://images.priceoye.pk/vivo-y05-pakistan-priceoye-7oglo-500x500.webp,"Model: Y05, USB Cable, Charger, Eject Tool, Phone Case, Protective Film, Warranty Card & Quick Start Guide",,"Q: Delivery time? A: In Lahore, Karachi, and Islamabad, typically 24–48 hours; other cities 3–5 working days. | Q: Installment procedure? A: Only Credit Cards eligible; check priceoye.pk/bnpl.",Warda awan (5/5): Yes its original product thanks priceoye.pk 😊 It's brand new We are satisfied | Dr.Mukhtiar Khan (5/5): Original New brand Satisfied | MURSALEEN TASLEEM (5/5): Product quality is very good but delivery of item not good and corporate M&p.please adress this issues | Shahzaib (5/5): Bht achi packing thi.. mobile bilkul original or price sa be mei satisfied ho.. | Moiz (4/5): It appears to be brand new; only time will tell.,37499,42999,13,6500,0,64,6.74,8
Sego Note 70 Limited Edition,https://priceoye.pk/mobiles/sego/sego-note-70-limited-edition,"Rs 25,799","Rs 30,999",17% OFF,PTA Approved Mobiles,,"6.6 inches, IPS LCD, 90Hz, 720 x 1612 pixels","128GB Internal, 4GB RAM, Card Slot: Yes","Unisoc Tiger T606 (12 nm), GPU: Mali-G57 MP1","5000 mAh, 18W wired charging","13 MP (wide) + 0.08 MP Back, 8 MP Front",Deep Blue | Silver | Cosmic Orange,In Stock | In Stock | In Stock - Only 2 left,https://images.priceoye.pk/sego-note-70-limited-edition-pakistan-priceoye-h0bss-500x500.webp | https://images.priceoye.pk/sego-note-70-limited-edition-pakistan-priceoye-aja6y-500x500.webp | https://images.priceoye.pk/sego-note-70-limited-edition-pakistan-priceoye-epfz6-500x500.webp,"Handset (Sego Note 70), Charging Adapter, USB Cable, SIM Ejector Tool, Protective Case, Warranty Card & User Guide",,"Q: Is it PTA approved? A: Yes, it is PTA Approved. | Q: Delivery time? A: Delivery usually takes 24–48 hours in major cities.",Yasir Ali (5/5): Excellent mobile at this budget. Fast delivery and original product. | Muhammad Ahmed (4/5): Good design but camera is just average. Packaging was good. | Fatima Bibi (5/5): I love the Cosmic Orange color. Very happy with the purchase.,25799,30999,17,5000,4,128,6.6,13
Realme C100i,https://priceoye.pk/mobiles/realme/realme-c100i,"Rs 34,799","Rs 38,999",11% OFF,PTA Approved Mobiles,,"6.8 Inches, IPS LCD, 720 x 1570 Pixels","64GB / 128GB / 256GB Internal, 4GB / 6GB RAM","Unisoc T7250 (12 nm), CPU: Octa-core, GPU: Mali-G57 MP1","7000 mAh Titan battery, 15W wired charging","8 MP (wide) Back, 5 MP Front",Dawn Purple | Dusk Gray,In Stock | In Stock,https://images.priceoye.pk/realme-c100i-pakistan-priceoye-2reil-500x500.webp | https://images.priceoye.pk/realme-c100i-pakistan-priceoye-x6hd0-500x500.webp,"Handset (Realme C100i), 15W Charging Adapter, USB Type-C Cable, SIM Ejector Tool, Protective Film, Quick Guide & Warranty Card",,"Q: Is it water resistant? A: Yes, it is rated IP64 for dust tight and water resistance (water splashes). | Q: What is the battery capacity? A: It features a massive 7000 mAh Titan battery. | Q: Does it support fast charging? A: It supports 15W wired charging (PD/QC).",Waqas K. (5/5): PriceOye delivery is very fast. Phone is original and seal pack. Satisfied. | Zeeshan Ali (5/5): Good budget phone with massive battery. Dawn Purple color looks premium. | M. Hamza (4/5): Phone performance is okay for daily tasks. 7000mAh battery is the main highlight.,34799,38999,11,7000,6,64,6.8,8
Oppo A6,https://priceoye.pk/mobiles/oppo/oppo-a6,"Rs 68,999","Rs 74,999",8% OFF,PTA Approved Mobiles,,"6.57 inches, AMOLED, 1080 x 2372","128GB / 256GB Internal, 8GB RAM, Card Slot: Supported","MediaTek Dimensity 6300, GPU: Mali-G57 MC2","5000 mAh (Li-Po), 45W Fast Charging","50 MP + 2 MP Back, 16 MP Front",Sapphire Blue | Aurora Gold,In Stock | In Stock,https://images.priceoye.pk/oppo-a6-pakistan-priceoye-elznh-500x500.webp | https://images.priceoye.pk/oppo-a6-pakistan-priceoye-spdvo-500x500.webp,"Oppo A6, 45W SuperVOOC Adapter, USB Type-C Cable, E-warranty Card, Protective Back Cover, SIM Ejection Pin, Quick Start Guide",,"Q: Delivery time? A: In Lahore, Karachi, and Islamabad, typically 24–48 hours; other cities 3–5 working days. | Q: Installment procedure? A: Only Credit Cards eligible; check priceoye.pk/bnpl.","Fariha Imran (5/5): I received my parcel yesterday. I am really having best experience with price oye for delivering the new original product box pack phones | Zahid iqbal (5/5): Very good service, delivered on time, compromised and got what was ordered, good price, thank you. Prince oye thank you very much | Asim Ali (5/5): Excellent service | Aziz Ullah (5/5): Order received... Good quality and price is less than market... But kindly use another courier service.. | Awais Rasool (5/5): Thanks",68999,74999,8,5000,8,128,6.57,50
